Sanju Samson,Wicketkeeper_Batter
Yashasvi Jaiswal,Batter
Riyan Parag,Batter
Dhruv Jurel,Wicketkeeper_Batter
Shimron Hetmyer,Batter
Jofra Archer,Bowler
Mahesh Theekshana,Bowler
Wanindu Hasaranga,Bowler
Akash Madhwal,Bowler
Kumar Kartikeya Singh,Bowler
Nitish Rana,Batter
Tushar Deshpande,Bowler
Shubham Dubey,Batter
Yudhvir Charak,Bowler
Fazalhaq Farooqi,Bowler
Vaibhav Suryavanshi,Batter
Kwena Maphaka,Bowler
Ashok Sharma,Bowler
Kunal Singh Rathore,Wicketkeeper_Batter
